timestamp,energy,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),wind_speed_10m (km/h),cloud_cover (%),precipitation (mm),shortwave_radiation (W/m²),day_of_week,is_holiday
2025-06-01 00:00:00,13277.72932,22.9,70,17.0,24.2,8.1,0,0.0,0.0,6,0
2025-06-01 01:00:00,12367.734718,22.4,71,16.9,23.8,7.0,0,0.0,0.0,6,0
2025-06-01 02:00:00,11678.103652,21.8,74,16.9,23.3,6.1,0,0.0,0.0,6,0
2025-06-01 03:00:00,11231.538259,21.3,76,16.9,22.8,6.1,0,0.0,0.0,6,0
2025-06-01 04:00:00,11023.126274,21.1,76,16.8,22.4,7.2,0,0.0,0.0,6,0
2025-06-01 05:00:00,10880.740578,20.8,78,16.9,22.3,6.5,0,0.0,0.0,6,0
2025-06-01 06:00:00,10824.881979,20.5,79,16.9,22.0,6.3,0,0.0,0.0,6,0
2025-06-01 07:00:00,11149.930706,20.8,79,17.0,22.3,7.0,1,0.0,15.0,6,0
2025-06-01 08:00:00,11999.86586,22.4,75,17.8,23.8,9.1,70,0.0,129.0,6,0
2025-06-01 09:00:00,12843.211971,23.2,75,18.6,25.1,8.8,56,0.1,219.0,6,0
2025-06-01 10:00:00,13606.018429,22.2,89,20.4,23.3,20.5,100,8.0,443.0,6,0
2025-06-01 11:00:00,14550.705217,21.1,93,19.9,22.6,15.9,29,1.2,54.0,6,0
2025-06-01 12:00:00,15534.499613,24.8,77,20.5,27.6,15.1,16,0.0,716.0,6,0
2025-06-01 13:00:00,16574.475167,26.4,73,21.1,31.1,12.4,15,0.0,915.0,6,0
2025-06-01 14:00:00,17804.873536,28.3,65,21.1,32.6,13.0,67,0.0,869.0,6,0
2025-06-01 15:00:00,18939.395154,28.4,68,21.9,32.5,12.2,59,0.0,743.0,6,0
2025-06-01 16:00:00,19855.344528,28.5,68,22.0,31.8,11.6,39,0.1,549.0,6,0
2025-06-01 17:00:00,20203.696896,28.4,69,22.1,31.6,11.5,59,0.6,502.0,6,0
2025-06-01 18:00:00,19857.688002,28.4,69,22.1,32.0,9.3,36,0.0,383.0,6,0
2025-06-01 19:00:00,19033.302772,27.6,74,22.5,31.9,5.9,62,0.1,228.0,6,0
2025-06-01 20:00:00,17979.368039,24.5,89,22.5,28.5,7.8,96,0.0,83.0,6,0
2025-06-01 21:00:00,17465.780008,23.5,91,22.0,27.6,5.9,80,4.1,4.0,6,0
2025-06-01 22:00:00,16338.893743,23.3,96,22.6,27.2,9.5,13,0.0,0.0,6,0
2025-06-01 23:00:00,14941.536908,23.0,97,22.5,26.7,9.7,10,0.0,0.0,6,0
2025-06-02 00:00:00,13864.915593,22.5,94,21.5,25.6,10.4,0,0.0,0.0,0,0
2025-06-02 01:00:00,13010.861884,21.9,92,20.5,24.3,11.8,0,0.0,0.0,0,0
2025-06-02 02:00:00,12388.737493,21.5,86,19.1,23.2,12.1,0,0.0,0.0,0,0
2025-06-02 03:00:00,12095.089249,21.2,84,18.5,22.5,12.5,2,0.0,0.0,0,0
2025-06-02 04:00:00,12168.25246,21.0,84,18.3,22.4,11.9,0,0.0,0.0,0,0
2025-06-02 05:00:00,12583.403951,20.9,87,18.6,22.5,11.1,7,0.0,0.0,0,0
2025-06-02 06:00:00,13115.395879,20.8,89,18.9,22.5,10.7,7,0.0,0.0,0,0
2025-06-02 07:00:00,13739.569837,21.0,89,19.0,22.9,10.2,10,0.0,15.0,0,0
2025-06-02 08:00:00,14613.466725,23.6,92,22.3,27.1,10.8,42,0.0,101.0,0,0
2025-06-02 09:00:00,15770.879,24.5,89,22.5,27.9,12.1,33,0.0,152.0,0,0
2025-06-02 10:00:00,17149.503913,26.6,79,22.7,30.7,9.0,65,0.1,384.0,0,0
2025-06-02 11:00:00,18556.829509,28.5,72,22.9,32.6,10.6,21,0.0,598.0,0,0
2025-06-02 12:00:00,19910.618215,30.0,69,23.8,35.4,11.9,7,0.0,769.0,0,0
2025-06-02 13:00:00,21045.07986,30.9,66,23.8,36.4,14.7,13,0.0,864.0,0,0
2025-06-02 14:00:00,21912.641962,31.7,62,23.5,37.0,16.1,31,0.0,912.0,0,0
2025-06-02 15:00:00,22447.957878,32.5,56,22.7,36.6,16.8,42,0.0,789.0,0,0
