latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
32.864674,-97.05017,186.0,-18000,America/Chicago,GMT-5

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),wind_speed_10m (km/h),cloud_cover (%),precipitation (mm),shortwave_radiation (W/m²)
2023-01-01T00:00,16.4,54,6.9,12.7,19.4,0,0.00,0.0
2023-01-01T01:00,15.6,56,6.8,12.2,17.7,39,0.00,0.0
2023-01-01T02:00,14.8,60,6.9,11.5,16.7,0,0.00,0.0
2023-01-01T03:00,14.3,61,6.9,11.0,17.6,6,0.00,0.0
2023-01-01T04:00,14.1,61,6.8,10.6,18.5,2,0.00,0.0
2023-01-01T05:00,13.9,62,6.8,10.7,16.8,2,0.00,0.0
2023-01-01T06:00,13.8,62,6.7,10.5,16.8,23,0.00,0.0
2023-01-01T07:00,14.6,62,7.4,11.4,16.8,99,0.00,0.0
2023-01-01T08:00,14.3,65,7.7,11.1,17.8,100,0.00,0.0
2023-01-01T09:00,14.8,65,8.3,11.4,20.0,99,0.00,6.0
2023-01-01T10:00,16.2,64,9.4,12.8,22.1,98,0.00,90.0
2023-01-01T11:00,18.4,62,10.9,15.8,20.0,100,0.00,274.0
2023-01-01T12:00,20.1,58,11.8,17.6,21.1,98,0.00,410.0
2023-01-01T13:00,21.5,55,12.1,19.1,20.7,93,0.00,481.0
2023-01-01T14:00,22.6,53,12.6,20.4,20.7,93,0.00,554.0
2023-01-01T15:00,23.1,53,12.9,21.0,20.5,100,0.00,521.0
2023-01-01T16:00,23.0,54,13.2,21.1,19.8,100,0.00,404.0
2023-01-01T17:00,22.5,57,13.5,20.9,18.8,99,0.00,283.0
2023-01-01T18:00,21.0,66,14.4,20.2,15.2,100,0.00,126.0
2023-01-01T19:00,19.1,70,13.6,18.1,15.5,100,0.00,10.0
2023-01-01T20:00,19.0,74,14.4,18.1,16.6,100,0.00,0.0
2023-01-01T21:00,18.7,81,15.4,17.9,17.8,100,0.00,0.0
2023-01-01T22:00,18.4,87,16.2,17.9,18.6,100,0.00,0.0
2023-01-01T23:00,18.0,91,16.5,17.8,17.4,100,0.00,0.0
2023-01-02T00:00,17.8,93,16.7,17.7,16.7,99,0.00,0.0
2023-01-02T01:00,17.5,93,16.4,17.5,15.2,97,0.00,0.0
2023-01-02T02:00,17.1,94,16.1,17.1,14.8,92,0.00,0.0
2023-01-02T03:00,17.0,95,16.3,17.0,15.2,100,0.00,0.0
2023-01-02T04:00,17.7,97,17.2,17.8,16.6,100,0.00,0.0
2023-01-02T05:00,18.5,96,17.8,18.7,17.5,100,0.00,0.0
2023-01-02T06:00,18.3,97,17.8,19.6,10.0,100,0.10,0.0
2023-01-02T07:00,19.5,91,18.0,18.6,26.3,100,0.00,0.0
2023-01-02T08:00,19.5,94,18.5,19.5,21.1,100,0.10,0.0
2023-01-02T09:00,19.9,93,18.8,19.8,22.6,100,0.10,2.0
2023-01-02T10:00,20.7,91,19.2,20.6,24.5,100,0.10,30.0
2023-01-02T11:00,21.4,86,19.0,20.3,30.6,84,0.00,43.0
2023-01-02T12:00,21.2,87,19.0,20.7,27.0,85,0.20,143.0
2023-01-02T13:00,22.6,81,19.1,22.4,25.3,87,0.00,319.0
2023-01-02T14:00,24.0,74,19.0,23.3,28.1,100,0.30,517.0
2023-01-02T15:00,22.0,84,19.1,22.4,20.2,53,3.80,172.0
2023-01-02T16:00,22.0,82,18.8,21.9,23.1,100,0.70,279.0
2023-01-02T17:00,20.0,95,19.2,20.8,18.4,100,0.90,104.0
2023-01-02T18:00,19.8,92,18.4,19.2,25.5,88,0.00,50.0
2023-01-02T19:00,19.5,94,18.4,20.3,15.5,100,0.00,7.0
2023-01-02T20:00,21.0,86,18.6,21.1,21.6,98,0.00,0.0
2023-01-02T21:00,20.7,74,15.9,20.1,17.8,35,0.00,0.0
2023-01-02T22:00,20.2,80,16.7,20.1,16.7,17,0.00,0.0
2023-01-02T23:00,19.6,83,16.6,19.1,19.9,58,0.20,0.0
2023-01-03T00:00,19.5,66,12.9,17.7,19.1,20,0.00,0.0
2023-01-03T01:00,18.0,47,6.6,14.4,18.4,31,0.00,0.0
2023-01-03T02:00,16.4,36,1.4,12.1,16.2,48,0.00,0.0
2023-01-03T03:00,15.6,34,-0.2,10.6,19.5,80,0.00,0.0
2023-01-03T04:00,14.4,34,-1.1,9.9,14.6,86,0.00,0.0
2023-01-03T05:00,13.5,37,-1.1,9.6,10.8,100,0.00,0.0
2023-01-03T06:00,13.8,36,-0.9,10.3,8.5,60,0.00,0.0
2023-01-03T07:00,13.3,39,-0.3,9.5,11.3,99,0.00,0.0
2023-01-03T08:00,11.9,43,-0.1,8.1,11.5,62,0.00,0.0
2023-01-03T09:00,11.8,45,0.3,7.9,12.5,48,0.00,8.0
2023-01-03T10:00,13.7,44,1.8,9.9,13.8,35,0.00,131.0
2023-01-03T11:00,15.9,39,2.0,12.2,12.8,23,0.00,299.0
2023-01-03T12:00,17.6,35,1.8,13.5,15.7,96,0.00,459.0
2023-01-03T13:00,18.2,30,0.3,13.1,20.9,50,0.00,488.0
2023-01-03T14:00,18.7,30,0.9,14.0,19.1,97,0.00,561.0
2023-01-03T15:00,19.0,27,-0.3,13.9,20.5,67,0.00,533.0
2023-01-03T16:00,19.0,25,-1.6,13.9,18.2,29,0.00,440.0
2023-01-03T17:00,18.4,26,-1.4,13.5,17.6,27,0.00,320.0
2023-01-03T18:00,16.5,35,0.8,13.3,7.9,29,0.00,146.0
2023-01-03T19:00,13.1,46,1.8,10.2,7.1,6,0.00,13.0
2023-01-03T20:00,13.1,46,1.9,10.2,7.7,95,0.00,0.0
2023-01-03T21:00,11.9,48,1.3,9.0,6.2,95,0.00,0.0
2023-01-03T22:00,11.4,49,0.9,8.0,9.3,91,0.00,0.0
2023-01-03T23:00,9.6,57,1.6,6.9,6.2,0,0.00,0.0
2023-01-04T00:00,8.6,63,2.0,5.9,6.5,0,0.00,0.0
2023-01-04T01:00,6.8,73,2.3,4.0,7.6,0,0.00,0.0
2023-01-04T02:00,6.6,75,2.5,3.8,7.6,0,0.00,0.0
2023-01-04T03:00,6.0,77,2.2,3.3,6.5,0,0.00,0.0
2023-01-04T04:00,5.2,80,2.0,2.4,6.7,0,0.00,0.0
2023-01-04T05:00,4.9,80,1.8,2.1,6.8,0,0.00,0.0
2023-01-04T06:00,4.1,84,1.5,1.2,6.9,0,0.00,0.0
2023-01-04T07:00,4.4,85,2.2,1.6,7.2,0,0.00,0.0
2023-01-04T08:00,3.2,89,1.5,-0.0,9.4,1,0.00,0.0
2023-01-04T09:00,4.2,84,1.8,1.1,8.3,0,0.00,9.0
2023-01-04T10:00,6.2,71,1.4,2.7,10.7,0,0.00,133.0
2023-01-04T11:00,7.7,63,1.1,4.3,9.6,0,0.00,309.0
2023-01-04T12:00,9.2,57,1.0,6.2,7.8,0,0.00,457.0
2023-01-04T13:00,10.5,53,1.3,8.1,3.3,0,0.00,554.0
2023-01-04T14:00,11.6,51,1.9,9.7,2.9,0,0.00,588.0
2023-01-04T15:00,12.6,49,2.2,10.2,4.8,0,0.00,559.0
2023-01-04T16:00,13.2,47,2.1,10.4,7.2,0,0.00,468.0
2023-01-04T17:00,13.2,46,1.8,10.2,7.9,29,0.00,325.0
2023-01-04T18:00,12.1,56,3.7,10.0,4.2,0,0.00,150.0
2023-01-04T19:00,9.6,62,2.8,6.9,7.4,0,0.00,14.0
2023-01-04T20:00,8.8,68,3.2,6.0,7.9,0,0.00,0.0
2023-01-04T21:00,7.7,73,3.1,5.0,7.6,0,0.00,0.0
2023-01-04T22:00,6.9,76,3.0,4.5,6.0,0,0.00,0.0
2023-01-04T23:00,6.8,76,2.9,3.8,9.5,0,0.00,0.0
2023-01-05T00:00,6.5,71,1.5,3.2,9.9,0,0.00,0.0
2023-01-05T01:00,4.9,76,1.0,1.8,7.6,0,0.00,0.0
2023-01-05T02:00,3.8,82,0.9,0.6,8.4,0,0.00,0.0
2023-01-05T03:00,3.8,80,0.7,0.9,6.4,0,0.00,0.0
2023-01-05T04:00,3.7,77,0.1,0.4,8.0,0,0.00,0.0
2023-01-05T05:00,3.5,75,-0.4,0.1,8.5,0,0.00,0.0
2023-01-05T06:00,3.3,76,-0.6,-0.1,7.9,0,0.00,0.0
2023-01-05T07:00,3.5,74,-0.8,-0.1,9.4,0,0.00,0.0
2023-01-05T08:00,2.7,78,-0.8,-0.8,8.4,0,0.00,0.0
2023-01-05T09:00,2.8,77,-0.9,-0.7,8.7,0,0.00,9.0
2023-01-05T10:00,5.3,67,-0.2,1.8,9.7,0,0.00,135.0
2023-01-05T11:00,7.8,57,-0.2,5.0,4.3,74,0.00,316.0
2023-01-05T12:00,9.9,50,-0.2,7.2,3.6,98,0.00,461.0
2023-01-05T13:00,11.6,43,-0.4,8.7,5.5,0,0.00,539.0
2023-01-05T14:00,13.1,40,-0.2,10.0,8.3,0,0.00,599.0
2023-01-05T15:00,14.1,39,0.2,10.8,8.6,0,0.00,569.0
2023-01-05T16:00,14.4,38,0.1,11.4,5.9,0,0.00,476.0
