latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
32.864674,-97.05017,186.0,-18000,America/Chicago,GMT-5

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),wind_speed_10m (km/h),cloud_cover (%),precipitation (mm),shortwave_radiation (W/m²)
2025-06-01T00:00,22.9,70,17.0,24.2,8.1,0,0.00,0.0
2025-06-01T01:00,22.4,71,16.9,23.8,7.0,0,0.00,0.0
2025-06-01T02:00,21.8,74,16.9,23.3,6.1,0,0.00,0.0
2025-06-01T03:00,21.3,76,16.9,22.8,6.1,0,0.00,0.0
2025-06-01T04:00,21.1,76,16.8,22.4,7.2,0,0.00,0.0
2025-06-01T05:00,20.8,78,16.9,22.3,6.5,0,0.00,0.0
2025-06-01T06:00,20.5,79,16.9,22.0,6.3,0,0.00,0.0
2025-06-01T07:00,20.8,79,17.0,22.3,7.0,1,0.00,15.0
2025-06-01T08:00,22.4,75,17.8,23.8,9.1,70,0.00,129.0
2025-06-01T09:00,23.2,75,18.6,25.1,8.8,56,0.10,219.0
2025-06-01T10:00,22.2,89,20.4,23.3,20.5,100,8.00,443.0
2025-06-01T11:00,21.1,93,19.9,22.6,15.9,29,1.20,54.0
2025-06-01T12:00,24.8,77,20.5,27.6,15.1,16,0.00,716.0
2025-06-01T13:00,26.4,73,21.1,31.1,12.4,15,0.00,915.0
2025-06-01T14:00,28.3,65,21.1,32.6,13.0,67,0.00,869.0
2025-06-01T15:00,28.4,68,21.9,32.5,12.2,59,0.00,743.0
2025-06-01T16:00,28.5,68,22.0,31.8,11.6,39,0.10,549.0
2025-06-01T17:00,28.4,69,22.1,31.6,11.5,59,0.60,502.0
2025-06-01T18:00,28.4,69,22.1,32.0,9.3,36,0.00,383.0
2025-06-01T19:00,27.6,74,22.5,31.9,5.9,62,0.10,228.0
2025-06-01T20:00,24.5,89,22.5,28.5,7.8,96,0.00,83.0
2025-06-01T21:00,23.5,91,22.0,27.6,5.9,80,4.10,4.0
2025-06-01T22:00,23.3,96,22.6,27.2,9.5,13,0.00,0.0
2025-06-01T23:00,23.0,97,22.5,26.7,9.7,10,0.00,0.0
2025-06-02T00:00,22.5,94,21.5,25.6,10.4,0,0.00,0.0
2025-06-02T01:00,21.9,92,20.5,24.3,11.8,0,0.00,0.0
2025-06-02T02:00,21.5,86,19.1,23.2,12.1,0,0.00,0.0
2025-06-02T03:00,21.2,84,18.5,22.5,12.5,2,0.00,0.0
2025-06-02T04:00,21.0,84,18.3,22.4,11.9,0,0.00,0.0
2025-06-02T05:00,20.9,87,18.6,22.5,11.1,7,0.00,0.0
2025-06-02T06:00,20.8,89,18.9,22.5,10.7,7,0.00,0.0
2025-06-02T07:00,21.0,89,19.0,22.9,10.2,10,0.00,15.0
