latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
32.864674,-97.05017,186.0,-18000,America/Chicago,GMT-5

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),wind_speed_10m (km/h),cloud_cover (%),precipitation (mm),shortwave_radiation (W/m²)
2026-01-01T00:00,10.9,53,1.6,7.7,8.9,90,0.00,0.0
2026-01-01T01:00,9.4,57,1.4,6.3,8.2,98,0.00,0.0
2026-01-01T02:00,8.6,61,1.5,5.6,7.4,80,0.00,0.0
2026-01-01T03:00,8.2,62,1.5,5.3,7.3,81,0.00,0.0
2026-01-01T04:00,7.7,65,1.5,4.8,6.6,47,0.00,0.0
2026-01-01T05:00,7.4,65,1.4,4.5,6.9,63,0.00,0.0
2026-01-01T06:00,7.3,66,1.3,4.3,7.5,39,0.00,0.0
2026-01-01T07:00,7.1,64,0.8,3.8,8.4,59,0.00,0.0
2026-01-01T08:00,6.4,68,0.9,3.2,8.4,97,0.00,0.0
2026-01-01T09:00,6.6,68,1.1,3.4,8.4,99,0.00,9.0
2026-01-01T10:00,8.7,62,1.8,5.5,9.2,100,0.00,132.0
2026-01-01T11:00,11.4,52,1.8,8.6,6.8,99,0.00,302.0
2026-01-01T12:00,13.9,43,1.4,11.0,6.7,100,0.00,421.0
2026-01-01T13:00,17.6,35,1.8,14.6,8.1,100,0.00,499.0
2026-01-01T14:00,19.3,31,1.8,16.2,8.9,100,0.00,519.0
2026-01-01T15:00,20.5,29,1.6,17.1,10.1,100,0.00,508.0
2026-01-01T16:00,21.0,27,1.0,17.4,11.0,100,0.00,366.0
2026-01-01T17:00,21.1,26,0.9,17.5,11.7,100,0.00,206.0
2026-01-01T18:00,19.9,29,1.4,16.4,11.3,100,0.00,57.0
2026-01-01T19:00,18.8,30,0.8,14.8,13.5,100,0.00,5.0
2026-01-01T20:00,18.6,30,0.9,14.6,14.4,100,0.00,0.0
2026-01-01T21:00,18.4,31,1.1,14.5,13.3,99,0.00,0.0
2026-01-01T22:00,17.9,33,1.4,14.2,12.1,100,0.00,0.0
2026-01-01T23:00,17.6,34,1.7,14.2,11.2,93,0.00,0.0
2026-01-02T00:00,17.3,36,2.0,13.7,12.4,51,0.00,0.0
2026-01-02T01:00,16.5,40,2.7,12.7,14.0,17,0.00,0.0
2026-01-02T02:00,16.3,40,2.8,12.6,14.3,12,0.00,0.0
2026-01-02T03:00,16.0,42,3.2,12.6,13.0,0,0.00,0.0
2026-01-02T04:00,15.8,45,3.9,12.5,12.7,0,0.00,0.0
2026-01-02T05:00,15.6,49,5.1,12.7,11.9,0,0.00,0.0
2026-01-02T06:00,15.4,55,6.4,13.0,10.6,0,0.00,0.0
2026-01-02T07:00,14.9,58,6.8,12.5,11.2,0,0.00,0.0
2026-01-02T08:00,13.9,61,6.6,11.7,9.5,0,0.00,0.0
2026-01-02T09:00,13.6,61,6.2,11.5,7.8,0,0.00,8.0
2026-01-02T10:00,15.6,52,5.9,13.4,7.8,0,0.00,129.0
2026-01-02T11:00,18.0,44,5.4,15.7,7.8,0,0.00,300.0
2026-01-02T12:00,19.8,38,5.2,17.0,11.0,0,0.00,444.0
2026-01-02T13:00,21.9,33,4.9,19.6,7.0,0,0.00,538.0
2026-01-02T14:00,23.5,30,5.1,21.3,8.0,0,0.00,574.0
2026-01-02T15:00,24.3,29,5.3,21.8,9.5,0,0.00,544.0
2026-01-02T16:00,24.4,28,4.9,21.8,9.6,0,0.00,453.0
2026-01-02T17:00,24.0,28,4.3,21.2,9.7,0,0.00,312.0
2026-01-02T18:00,22.7,29,3.8,20.3,6.6,0,0.00,142.0
2026-01-02T19:00,20.0,30,2.0,17.4,5.3,0,0.00,13.0
2026-01-02T20:00,19.0,32,2.1,16.4,5.7,0,0.00,0.0
2026-01-02T21:00,17.6,38,3.0,15.2,5.5,0,0.00,0.0
2026-01-02T22:00,16.6,44,4.2,14.4,5.4,0,0.00,0.0
2026-01-02T23:00,15.9,48,4.9,13.9,5.0,0,0.00,0.0
2026-01-03T00:00,15.1,52,5.4,13.3,5.2,0,0.00,0.0
2026-01-03T01:00,14.3,55,5.3,12.7,3.3,0,0.00,0.0
2026-01-03T02:00,13.4,60,5.8,11.5,5.4,0,0.00,0.0
2026-01-03T03:00,13.1,66,6.8,10.5,11.8,2,0.00,0.0
2026-01-03T04:00,12.2,72,7.2,9.8,11.8,1,0.00,0.0
2026-01-03T05:00,11.4,78,7.7,8.9,13.2,0,0.00,0.0
2026-01-03T06:00,10.7,83,8.0,8.3,12.9,0,0.00,0.0
2026-01-03T07:00,10.2,89,8.4,7.6,14.8,0,0.00,0.0
2026-01-03T08:00,9.6,86,7.3,6.8,14.3,0,0.00,0.0
2026-01-03T09:00,9.1,82,6.3,6.2,13.6,0,0.00,8.0
2026-01-03T10:00,9.9,73,5.2,6.5,14.6,0,0.00,126.0
2026-01-03T11:00,11.0,63,4.2,7.6,13.9,0,0.00,295.0
2026-01-03T12:00,12.6,55,3.7,9.1,13.4,0,0.00,439.0
2026-01-03T13:00,14.8,48,4.0,11.5,12.6,0,0.00,535.0
2026-01-03T14:00,16.1,43,3.5,12.9,12.4,0,0.00,572.0
2026-01-03T15:00,17.0,39,2.8,13.6,11.7,0,0.00,544.0
2026-01-03T16:00,17.2,37,2.5,13.8,11.7,0,0.00,457.0
2026-01-03T17:00,17.0,38,2.3,13.4,12.3,32,0.00,317.0
2026-01-03T18:00,15.9,40,2.5,12.5,11.3,0,0.00,146.0
2026-01-03T19:00,14.9,44,2.6,12.1,7.2,0,0.00,13.0
2026-01-03T20:00,14.1,46,2.7,11.2,8.4,0,0.00,0.0
2026-01-03T21:00,13.4,48,2.5,10.3,9.1,0,0.00,0.0
2026-01-03T22:00,12.5,51,2.8,9.5,9.2,0,0.00,0.0
2026-01-03T23:00,11.6,56,3.0,8.8,8.0,0,0.00,0.0
2026-01-04T00:00,10.6,59,3.0,8.1,6.3,0,0.00,0.0
2026-01-04T01:00,8.9,64,2.3,6.8,2.3,0,0.00,0.0
2026-01-04T02:00,8.4,64,2.0,6.3,1.8,9,0.00,0.0
2026-01-04T03:00,7.8,66,1.8,5.7,2.0,0,0.00,0.0
2026-01-04T04:00,7.4,67,1.7,5.3,1.4,55,0.00,0.0
2026-01-04T05:00,6.8,71,1.9,4.5,3.6,96,0.00,0.0
2026-01-04T06:00,6.7,70,1.7,4.0,5.9,100,0.00,0.0
2026-01-04T07:00,4.9,75,0.8,2.5,2.9,100,0.00,0.0
2026-01-04T08:00,4.8,76,1.0,2.8,0.4,100,0.00,0.0
2026-01-04T09:00,5.0,75,0.9,2.6,3.0,100,0.00,7.0
2026-01-04T10:00,6.3,68,0.9,3.8,3.6,100,0.00,103.0
2026-01-04T11:00,8.4,61,1.2,5.9,4.1,83,0.00,238.0
2026-01-04T12:00,11.1,52,1.7,8.5,5.5,99,0.00,421.0
2026-01-04T13:00,14.1,50,3.7,11.6,6.6,100,0.00,502.0
2026-01-04T14:00,15.7,45,3.9,13.2,7.0,100,0.00,531.0
2026-01-04T15:00,16.5,43,3.9,13.9,8.3,100,0.00,436.0
2026-01-04T16:00,16.7,43,3.9,13.8,9.9,100,0.00,239.0
2026-01-04T17:00,17.0,42,4.0,14.2,9.5,100,0.00,180.0
2026-01-04T18:00,16.8,44,4.4,14.2,8.1,100,0.00,90.0
2026-01-04T19:00,15.8,48,4.9,13.4,8.1,100,0.00,11.0
2026-01-04T20:00,15.4,52,5.6,12.8,10.3,100,0.00,0.0
2026-01-04T21:00,14.8,57,6.2,12.3,10.6,100,0.00,0.0
2026-01-04T22:00,14.4,60,6.7,11.9,11.1,84,0.00,0.0
2026-01-04T23:00,13.8,64,7.1,11.3,12.2,38,0.00,0.0
2026-01-05T00:00,13.5,68,7.7,11.1,12.3,62,0.00,0.0
2026-01-05T01:00,12.1,73,7.4,9.8,11.4,87,0.00,0.0
2026-01-05T02:00,11.9,74,7.4,9.5,11.7,95,0.00,0.0
2026-01-05T03:00,11.8,75,7.4,9.2,12.8,52,0.00,0.0
2026-01-05T04:00,11.6,75,7.3,9.1,12.4,16,0.00,0.0
2026-01-05T05:00,11.4,76,7.3,8.9,12.1,18,0.00,0.0
2026-01-05T06:00,11.2,77,7.3,8.9,11.4,1,0.00,0.0
2026-01-05T07:00,11.1,81,8.1,8.8,12.5,1,0.00,0.0
2026-01-05T08:00,11.0,85,8.6,8.7,13.4,0,0.00,0.0
2026-01-05T09:00,11.2,87,9.1,9.0,13.8,0,0.00,8.0
2026-01-05T10:00,12.9,82,9.9,11.4,10.4,12,0.00,125.0
2026-01-05T11:00,15.0,77,11.1,13.3,13.7,66,0.00,299.0
2026-01-05T12:00,18.0,68,12.1,15.4,21.8,80,0.00,414.0
2026-01-05T13:00,17.9,75,13.3,16.0,20.1,95,0.00,459.0
2026-01-05T14:00,19.7,67,13.3,18.2,17.3,4,0.00,365.0
2026-01-05T15:00,21.1,63,13.8,19.8,17.0,19,0.00,547.0
2026-01-05T16:00,21.6,61,13.9,20.3,17.5,52,0.00,457.0
2026-01-05T17:00,21.5,62,13.8,20.3,16.7,46,0.00,313.0
2026-01-05T18:00,20.7,65,13.9,20.0,13.5,91,0.00,147.0
2026-01-05T19:00,18.9,72,13.7,18.3,12.4,99,0.00,15.0
2026-01-05T20:00,18.5,73,13.6,17.6,13.7,99,0.00,0.0
2026-01-05T21:00,18.3,75,13.8,17.4,14.4,100,0.00,0.0
2026-01-05T22:00,18.4,77,14.2,17.7,14.6,100,0.00,0.0
2026-01-05T23:00,18.4,78,14.5,17.8,14.1,100,0.00,0.0
