timestamp,energy,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),wind_speed_10m (km/h),cloud_cover (%),precipitation (mm),shortwave_radiation (W/m²),day_of_week,is_holiday
2026-01-01 00:00:00,11773.493994,10.9,53,1.6,7.7,8.9,90,0.0,0.0,3,1
2026-01-01 01:00:00,11792.093557,9.4,57,1.4,6.3,8.2,98,0.0,0.0,3,1
2026-01-01 02:00:00,11764.041621,8.6,61,1.5,5.6,7.4,80,0.0,0.0,3,1
2026-01-01 03:00:00,11800.767688,8.2,62,1.5,5.3,7.3,81,0.0,0.0,3,1
2026-01-01 04:00:00,11947.174576,7.7,65,1.5,4.8,6.6,47,0.0,0.0,3,1
2026-01-01 05:00:00,12326.600991,7.4,65,1.4,4.5,6.9,63,0.0,0.0,3,1
2026-01-01 06:00:00,12820.89741,7.3,66,1.3,4.3,7.5,39,0.0,0.0,3,1
2026-01-01 07:00:00,13151.660458,7.1,64,0.8,3.8,8.4,59,0.0,0.0,3,1
2026-01-01 08:00:00,13124.78462,6.4,68,0.9,3.2,8.4,97,0.0,0.0,3,1
2026-01-01 09:00:00,12878.910284,6.6,68,1.1,3.4,8.4,99,0.0,9.0,3,1
2026-01-01 10:00:00,12571.250105,8.7,62,1.8,5.5,9.2,100,0.0,132.0,3,1
2026-01-01 11:00:00,12227.518839,11.4,52,1.8,8.6,6.8,99,0.0,302.0,3,1
2026-01-01 12:00:00,11963.405851,13.9,43,1.4,11.0,6.7,100,0.0,421.0,3,1
2026-01-01 13:00:00,11785.754955,17.6,35,1.8,14.6,8.1,100,0.0,499.0,3,1
2026-01-01 14:00:00,11718.143044,19.3,31,1.8,16.2,8.9,100,0.0,519.0,3,1
2026-01-01 15:00:00,11816.673351,20.5,29,1.6,17.1,10.1,100,0.0,508.0,3,1
2026-01-01 16:00:00,11935.254883,21.0,27,1.0,17.4,11.0,100,0.0,366.0,3,1
2026-01-01 17:00:00,12477.056701,21.1,26,0.9,17.5,11.7,100,0.0,206.0,3,1
2026-01-01 18:00:00,12832.839413,19.9,29,1.4,16.4,11.3,100,0.0,57.0,3,1
