timestamp,energy,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),wind_speed_10m (km/h),cloud_cover (%),precipitation (mm),shortwave_radiation (W/m²),day_of_week,is_holiday
2025-07-01 00:00:00,719392.3,21.2,95,20.5,24.7,4.5,33,0.0,0.0,1,1
2025-07-01 01:00:00,662179.2,21.0,96,20.4,24.3,5.4,42,0.0,0.0,1,1
2025-07-01 02:00:00,621299.3,21.1,97,20.7,24.3,7.6,94,0.0,0.0,1,1
2025-07-01 03:00:00,594828.6,21.5,97,21.0,24.4,9.6,100,0.0,0.0,1,1
2025-07-01 04:00:00,591428.6,21.9,95,21.0,24.9,9.4,100,0.0,0.0,1,1
2025-07-01 05:00:00,606479.6,21.8,94,20.9,25.0,7.8,100,0.0,0.0,1,1
2025-07-01 06:00:00,654459.9,21.5,95,20.6,24.8,5.6,100,0.0,1.0,1,1
2025-07-01 07:00:00,778403.8,21.5,96,20.9,25.2,4.5,70,0.0,50.0,1,1
2025-07-01 08:00:00,900846.4,22.4,94,21.2,26.0,6.0,87,0.0,171.0,1,1
2025-07-01 09:00:00,1008012.8,23.1,92,21.7,26.7,8.2,100,0.0,253.0,1,1
2025-07-01 10:00:00,1068135.5,24.1,89,22.2,28.4,5.5,100,0.0,216.0,1,1
2025-07-01 11:00:00,1161472.9,25.8,77,21.5,29.4,6.7,100,0.0,468.0,1,1
2025-07-01 12:00:00,1228022.5,26.5,71,20.9,29.6,8.7,100,0.0,494.0,1,1
2025-07-01 13:00:00,1258799.4,27.5,65,20.4,31.0,10.9,100,0.0,726.0,1,1
2025-07-01 14:00:00,1297131.7,27.5,62,19.5,29.6,11.6,100,0.0,593.0,1,1
2025-07-01 15:00:00,1338792.5,28.2,50,16.8,28.9,13.6,97,0.0,605.0,1,1
2025-07-01 16:00:00,1376522.0,28.6,47,16.1,29.0,15.2,22,0.0,643.0,1,1
2025-07-01 17:00:00,1371533.0,28.5,47,16.1,28.9,15.4,22,0.0,645.0,1,1
2025-07-01 18:00:00,1333410.9,27.7,50,16.2,27.7,14.4,21,0.0,471.0,1,1
2025-07-01 19:00:00,1256759.0,26.5,52,16.0,26.6,14.1,20,0.0,326.0,1,1
2025-07-01 20:00:00,1196244.4,25.3,59,16.7,25.8,12.5,0,0.0,163.0,1,1
2025-07-01 21:00:00,1121092.7,24.0,61,15.9,24.1,13.1,0,0.0,40.0,1,1
2025-07-01 22:00:00,1016194.3,22.8,66,16.1,23.2,11.5,0,0.0,0.0,1,1
2025-07-01 23:00:00,897839.2,22.0,70,16.3,22.4,11.8,0,0.0,0.0,1,1
2025-07-02 00:00:00,792514.7,21.1,74,16.3,21.8,10.6,0,0.0,0.0,2,0
2025-07-02 01:00:00,719197.8,20.5,75,15.8,20.8,11.0,0,0.0,0.0,2,0
2025-07-02 02:00:00,666157.9,19.8,75,15.1,20.0,10.0,0,0.0,0.0,2,0
2025-07-02 03:00:00,631618.9,19.2,74,14.4,19.3,9.7,0,0.0,0.0,2,0
2025-07-02 04:00:00,628390.7,18.8,74,14.1,18.7,9.1,0,0.0,0.0,2,0
2025-07-02 05:00:00,654604.1,18.3,76,14.1,18.3,8.8,0,0.0,0.0,2,0
2025-07-02 06:00:00,720406.7,18.0,78,14.2,18.2,8.5,0,0.0,2.0,2,0
2025-07-02 07:00:00,817196.0,18.9,77,14.7,19.2,8.5,0,0.0,72.0,2,0
2025-07-02 08:00:00,926702.9,20.6,72,15.5,21.5,6.9,0,0.0,224.0,2,0
2025-07-02 09:00:00,1038048.9,22.8,67,16.2,24.0,6.1,0,0.0,403.0,2,0
2025-07-02 10:00:00,1117367.0,24.5,63,17.0,26.1,7.0,0,0.0,575.0,2,0
2025-07-02 11:00:00,1186308.1,26.0,57,16.8,28.1,8.2,6,0.0,723.0,2,0
2025-07-02 12:00:00,1216703.7,27.0,53,16.5,29.4,10.2,20,0.0,832.0,2,0
2025-07-02 13:00:00,1242979.7,27.2,54,17.0,29.2,12.6,35,0.1,792.0,2,0
2025-07-02 14:00:00,1276149.0,27.1,54,17.1,29.1,12.8,25,0.2,778.0,2,0
2025-07-02 15:00:00,1313648.3,27.8,52,17.0,29.9,11.9,33,0.0,798.0,2,0
2025-07-02 16:00:00,1338016.6,27.9,51,17.0,29.3,12.7,51,0.1,699.0,2,0
2025-07-02 17:00:00,1363754.0,28.0,44,14.6,27.9,11.9,47,0.1,568.0,2,0
2025-07-02 18:00:00,1354499.8,27.5,47,15.2,27.7,10.4,48,0.0,389.0,2,0
2025-07-02 19:00:00,1313860.7,27.2,51,16.2,28.0,8.8,54,0.1,261.0,2,0
2025-07-02 20:00:00,1268912.6,26.1,56,16.5,27.0,9.6,95,0.0,141.0,2,0
2025-07-02 21:00:00,1187852.4,23.9,68,17.6,25.8,5.2,2,0.0,39.0,2,0
2025-07-02 22:00:00,1065207.1,23.4,71,17.9,25.1,7.8,0,0.0,0.0,2,0
2025-07-02 23:00:00,942992.5,22.9,75,18.1,24.4,9.9,7,0.0,0.0,2,0
2025-07-03 00:00:00,837068.3,22.1,77,17.9,23.6,9.2,11,0.0,0.0,3,0
2025-07-03 01:00:00,760765.3,21.5,77,17.3,22.5,10.5,79,0.0,0.0,3,0
2025-07-03 02:00:00,707260.8,20.9,78,16.9,21.9,9.5,100,0.0,0.0,3,0
2025-07-03 03:00:00,673261.3,20.5,79,16.7,21.8,7.8,100,0.0,0.0,3,0
2025-07-03 04:00:00,671567.9,20.1,79,16.4,20.9,9.6,70,0.0,0.0,3,0
2025-07-03 05:00:00,699384.5,19.0,82,15.9,20.9,1.2,84,0.0,0.0,3,0
2025-07-03 06:00:00,742869.5,19.0,75,14.4,19.3,8.4,23,0.0,1.0,3,0
2025-07-03 07:00:00,798137.8,18.7,73,13.8,18.4,10.4,61,0.0,66.0,3,0
2025-07-03 08:00:00,859269.7,19.0,73,13.9,18.9,9.1,59,0.0,177.0,3,0
2025-07-03 09:00:00,964652.0,20.5,69,14.6,19.8,15.1,59,3.6,345.0,3,0
2025-07-03 10:00:00,1047829.7,21.4,68,15.1,21.5,10.7,38,0.2,428.0,3,0
2025-07-03 11:00:00,1103572.9,23.2,60,14.9,23.7,8.5,7,0.0,569.0,3,0
2025-07-03 12:00:00,1118653.2,25.6,35,9.1,24.8,14.1,13,0.0,813.0,3,0
2025-07-03 13:00:00,1126426.0,25.7,36,9.6,24.2,18.9,6,0.0,821.0,3,0
2025-07-03 14:00:00,1142745.9,25.2,36,9.1,23.5,22.2,0,0.0,919.0,3,0
2025-07-03 15:00:00,1172204.7,24.4,38,9.1,22.9,20.6,0,0.0,907.0,3,0
2025-07-03 16:00:00,1211292.3,24.0,38,8.7,22.3,19.3,1,0.0,824.0,3,0
2025-07-03 17:00:00,1203205.2,23.6,35,7.4,20.9,19.4,0,0.0,698.0,3,0
2025-07-03 18:00:00,1157344.2,23.0,32,5.2,19.0,19.1,0,0.0,541.0,3,0
2025-07-03 19:00:00,1084989.2,22.1,38,7.2,19.1,15.8,0,0.0,364.0,3,0
2025-07-03 20:00:00,1039508.6,21.4,43,8.2,19.1,12.4,0,0.0,183.0,3,0
2025-07-03 21:00:00,967162.4,21.1,40,6.9,18.4,12.7,4,0.0,41.0,3,0
2025-07-03 22:00:00,861892.5,20.0,43,7.0,17.6,10.9,57,0.0,0.0,3,0
2025-07-03 23:00:00,749255.7,19.1,45,6.8,16.6,11.7,51,0.0,0.0,3,0
2025-07-04 00:00:00,656375.1,18.3,49,7.4,15.8,12.5,61,0.0,0.0,4,0
2025-07-04 01:00:00,592962.3,17.5,55,8.4,15.4,11.6,51,0.0,0.0,4,0
2025-07-04 02:00:00,552396.8,17.0,60,9.1,15.2,10.5,0,0.0,0.0,4,0
2025-07-04 03:00:00,530680.1,16.4,63,9.4,14.9,9.5,0,0.0,0.0,4,0
2025-07-04 04:00:00,532704.3,15.8,67,9.7,14.4,9.4,0,0.0,0.0,4,0
2025-07-04 05:00:00,561272.6,15.4,69,9.8,13.9,10.3,2,0.0,0.0,4,0
