timestamp,energy,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),wind_speed_10m (km/h),cloud_cover (%),precipitation (mm),shortwave_radiation (W/m²),day_of_week,is_holiday
2025-01-01 00:00:00,700657.5,3.7,93,2.7,-0.1,14.9,100,0.0,0.0,2,1
2025-01-01 01:00:00,665833.5,3.3,93,2.3,-0.5,14.0,100,0.0,0.0,2,1
2025-01-01 02:00:00,634830.4,2.8,93,1.8,-1.3,15.2,100,0.0,0.0,2,1
2025-01-01 03:00:00,609885.3,2.2,94,1.4,-2.3,17.9,100,0.0,0.0,2,1
2025-01-01 04:00:00,593494.3,2.0,93,1.0,-2.9,19.6,100,0.0,0.0,2,1
2025-01-01 05:00:00,595100.9,2.0,92,0.8,-2.9,19.7,100,0.1,0.0,2,1
2025-01-01 06:00:00,605474.6,1.9,91,0.6,-3.0,19.4,100,0.0,0.0,2,1
2025-01-01 07:00:00,619618.1,1.8,91,0.4,-3.1,19.0,100,0.1,0.0,2,1
2025-01-01 08:00:00,652784.2,1.6,91,0.3,-3.3,19.9,100,0.2,0.0,2,1
2025-01-01 09:00:00,700050.5,1.8,91,0.4,-3.4,21.0,100,0.3,0.0,2,1
2025-01-01 10:00:00,754603.8,1.9,90,0.4,-3.5,22.5,100,0.4,12.0,2,1
2025-01-01 11:00:00,808912.5,2.1,88,0.2,-3.3,22.6,100,0.3,41.0,2,1
2025-01-01 12:00:00,841690.4,2.2,86,0.1,-3.3,23.0,100,0.2,66.0,2,1
2025-01-01 13:00:00,852030.7,2.2,82,-0.5,-3.2,21.9,100,0.2,89.0,2,1
2025-01-01 14:00:00,847696.4,2.3,78,-1.1,-2.7,18.8,100,0.1,132.0,2,1
2025-01-01 15:00:00,852448.5,2.5,71,-2.2,-3.2,22.1,100,0.1,127.0,2,1
2025-01-01 16:00:00,883694.7,2.5,70,-2.3,-2.8,19.2,100,0.0,125.0,2,1
2025-01-01 17:00:00,956410.4,2.2,70,-2.7,-3.0,18.2,100,0.0,78.0,2,1
2025-01-01 18:00:00,963445.2,1.6,72,-2.9,-3.5,17.4,100,0.0,15.0,2,1
2025-01-01 19:00:00,941491.4,1.1,74,-3.1,-4.2,18.9,100,0.0,0.0,2,1
2025-01-01 20:00:00,916978.9,0.7,75,-3.3,-4.7,19.3,100,0.0,0.0,2,1
2025-01-01 21:00:00,880940.9,1.0,75,-2.8,-3.8,16.1,100,0.0,0.0,2,1
2025-01-01 22:00:00,822892.6,0.8,76,-3.0,-4.0,15.4,100,0.0,0.0,2,1
2025-01-01 23:00:00,756224.4,0.2,77,-3.3,-4.4,14.1,93,0.0,0.0,2,1
2025-01-02 00:00:00,691209.3,-0.3,78,-3.7,-5.0,14.4,28,0.0,0.0,3,0
2025-01-02 01:00:00,641887.4,-0.7,79,-4.0,-5.4,14.2,4,0.0,0.0,3,0
2025-01-02 02:00:00,611281.2,-0.8,78,-4.2,-5.6,14.8,0,0.0,0.0,3,0
2025-01-02 03:00:00,598076.4,-0.7,77,-4.2,-5.6,15.2,3,0.0,0.0,3,0
2025-01-02 04:00:00,596574.9,-0.7,77,-4.3,-5.8,16.2,46,0.0,0.0,3,0
2025-01-02 05:00:00,613678.1,-0.6,76,-4.3,-5.9,17.2,79,0.0,0.0,3,0
2025-01-02 06:00:00,644694.0,-0.6,75,-4.4,-6.0,17.8,4,0.0,0.0,3,0
2025-01-02 07:00:00,690155.4,-0.6,74,-4.7,-6.1,18.4,4,0.0,0.0,3,0
2025-01-02 08:00:00,739464.1,-0.8,74,-4.8,-6.3,18.7,3,0.0,0.0,3,0
2025-01-02 09:00:00,783150.3,-0.9,77,-4.4,-6.5,20.4,40,0.0,0.0,3,0
2025-01-02 10:00:00,822627.6,-0.6,74,-4.8,-6.2,19.1,31,0.0,56.0,3,0
2025-01-02 11:00:00,865470.3,-0.1,72,-4.6,-5.4,17.9,21,0.0,188.0,3,0
2025-01-02 12:00:00,891892.4,0.4,69,-4.7,-5.4,21.2,7,0.0,302.0,3,0
2025-01-02 13:00:00,877634.6,0.5,63,-5.8,-5.8,23.4,6,0.0,377.0,3,0
2025-01-02 14:00:00,867813.4,0.4,63,-5.8,-5.9,23.4,5,0.0,399.0,3,0
2025-01-02 15:00:00,877231.2,0.3,62,-6.2,-6.3,25.0,22,0.0,357.0,3,0
2025-01-02 16:00:00,927451.5,-0.4,66,-5.9,-6.7,23.8,53,0.0,264.0,3,0
2025-01-02 17:00:00,1016871.6,-1.1,69,-6.1,-7.4,23.3,20,0.0,146.0,3,0
2025-01-02 18:00:00,1039213.3,-1.8,69,-6.7,-8.1,23.1,22,0.0,28.0,3,0
2025-01-02 19:00:00,1026009.2,-2.2,70,-6.9,-8.4,22.1,16,0.0,0.0,3,0
2025-01-02 20:00:00,1002353.7,-2.2,70,-6.9,-8.3,21.6,20,0.0,0.0,3,0
2025-01-02 21:00:00,962483.7,-2.6,75,-6.4,-8.8,22.5,34,0.0,0.0,3,0
2025-01-02 22:00:00,894839.2,-2.6,75,-6.5,-8.7,21.6,19,0.0,0.0,3,0
